Sample,Het,adjusted_het,num_sites,site_adjusted,taxa,life_history,breeding_system,genome_size
SCsuper,0.0109658,2.62E-08,3.93E+05,2.79E-08,Malania_oleifera,perennial,outcrossing,large
SCsuper,0.0113239,2.70E-08,3.96E+05,2.86E-08,Malania_oleifera,perennial,outcrossing,large
SCsuper,0.0106408,2.54E-08,3.88E+05,2.74E-08,Malania_oleifera,perennial,outcrossing,large
SCsuper,0.0115213,2.75E-08,3.88E+05,2.97E-08,Malania_oleifera,perennial,outcrossing,large
SCsuper,0.0105395,2.52E-08,4.00E+05,2.64E-08,Malania_oleifera,perennial,outcrossing,large
SCsuper,0.0114664,2.74E-08,3.91E+05,2.93E-08,Malania_oleifera,perennial,outcrossing,large
SCsuper,0.0104143,2.49E-08,3.98E+05,2.62E-08,Malania_oleifera,perennial,outcrossing,large
SCsuper,0.0110178,2.63E-08,3.98E+05,2.77E-08,Malania_oleifera,perennial,outcrossing,large
SCsuper,0.00948399,2.26E-08,4.07E+05,2.33E-08,Malania_oleifera,perennial,outcrossing,large
SCsuper,0.01,2.39E-08,3.89E+05,2.57E-08,Malania_oleifera,perennial,outcrossing,large
SCsuper,0.0103977,2.48E-08,3.90E+05,2.67E-08,Malania_oleifera,perennial,outcrossing,large
SCsuper,0.00973212,2.32E-08,3.76E+05,2.59E-08,Malania_oleifera,perennial,outcrossing,large
SCsuper,0.0107507,2.57E-08,3.90E+05,2.75E-08,Malania_oleifera,perennial,outcrossing,large
SCsuper,0.0117029,2.79E-08,3.98E+05,2.94E-08,Malania_oleifera,perennial,outcrossing,large
SCsuper,0.0106747,2.55E-08,4.04E+05,2.64E-08,Malania_oleifera,perennial,outcrossing,large
SCsuper,0.0108564,2.59E-08,4.05E+05,2.68E-08,Malania_oleifera,perennial,outcrossing,large
SCsuper,0.010535,2.52E-08,3.93E+05,2.68E-08,Malania_oleifera,perennial,outcrossing,large
SCsuper,0.0106685,2.55E-08,3.89E+05,2.74E-08,Malania_oleifera,perennial,outcrossing,large
SCsuper,0.0107061,2.56E-08,4.01E+05,2.67E-08,Malania_oleifera,perennial,outcrossing,large
SCsuper,0.0102073,2.44E-08,3.99E+05,2.56E-08,Malania_oleifera,perennial,outcrossing,large
SCsuper,0.010916,2.61E-08,4.03E+05,2.71E-08,Malania_oleifera,perennial,outcrossing,large
SCsuper,0.0112775,2.69E-08,4.02E+05,2.80E-08,Malania_oleifera,perennial,outcrossing,large
SCsuper,0.0112662,2.69E-08,4.07E+05,2.77E-08,Malania_oleifera,perennial,outcrossing,large
SCsuper,0.0107119,2.56E-08,4.04E+05,2.65E-08,Malania_oleifera,perennial,outcrossing,large
BUSCO,0.00547524,2.01E-09,2.29E+06,2.39E-09,Malania_oleifera,perennial,outcrossing,large
BUSCO,0.00561289,2.06E-09,2.24E+06,2.51E-09,Malania_oleifera,perennial,outcrossing,large
BUSCO,0.00499487,1.83E-09,2.33E+06,2.14E-09,Malania_oleifera,perennial,outcrossing,large
